source_id	source_title	source_year	source_authors	source_type	site_name	LatDD	LonDD	inferred_from	inferred_using	biodiversity_measure	inferred_as	taxon_kingdom	taxon_family	taxon_genus	taxon_species	sample_origin	earliest_extent	latest_extent	proxy_category	variability_temp	variability_precip	max_temp	max_precip	min_temp	min_precip	elevation_change	dist_to_land_ice_max	dist_to_land_ice_min
itrdb - ak014	Harlan - Settlement Point Afognak Island - PCSI - ITRDB AK014		Harlan., T.P.;Canova., M.;Reines., D.L.;Wu., R.	Database entry	Settlement Point Afognak Island	58.05	-152.7	Contemporaneous Whole Organism: Picea sitchensis (Bong.) Carriére	Implicit	PresenceOnly	Picea sitchensis (Bong.) Carriére [Species]	Plantae	Pinaceae	Picea	Picea sitchensis (Bong.) Carriére	Living organism	260	-46	Contemporaneous Whole Organism	0.26250028599999986	45	5.204166889	1585	4.941666603	1540	0	1252.576842	1252.576842
itrdb - ak031	Jacoby - Four Twelve with Revisit - PCGL - ITRDB AK031		Jacoby., G.C.;D'Arrigo., R.D.;Buckley., B.M.	Database entry	Four Twelve with Revisit	67.93	-162.3	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	426	-40	Contemporaneous Whole Organism	0.633333683	5	-7.862499714	276	-8.495833397	271	0	395.5552485	395.5552485
itrdb - ak032	Jacoby - Arrigetch - PCGL - ITRDB AK032		Jacoby., G.C.;D'Arrigo., R.D.;Buckley., B.M.	Database entry	Arrigetch	67.45	-154.05	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	365	-40	Contemporaneous Whole Organism	0.38333320599999965	11	-8.754166603	293	-9.137499809	282	0	673.8482194	673.8482194
itrdb - ak033	Jacoby - Sheenjek River and Flats - PCGL - ITRDB AK033		Jacoby., G.C.;D'Arrigo., R.D.;Buckley., B.M.	Database entry	Sheenjek River and Flats	68.63	-143.72	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	654	-29	Contemporaneous Whole Organism	0.4791669899999995	9	-11.09166622	172	-11.57083321	163	0	229.7394589	229.7394589
itrdb - ak034	Lloyd - Fox River Bank - PCGL - ITRDB AK034		Lloyd., A.H.	Database entry	Fox River Bank	64.82	-163.7	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	155	-47	Contemporaneous Whole Organism	0.10833311099999943	6	-4.308333397	435	-4.416666508	429	0	333.93457079999996	333.93457079999996
itrdb - ak038	Lloyd - Grasshopper Hill - PCGL - ITRDB AK038		Lloyd., A.H.	Database entry	Grasshopper Hill	64.92	-163.67	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	160	-49	Contemporaneous Whole Organism	0.09583330099999987	7	-4.849999905	487	-4.945833206	480	0	330.7786077	330.7786077
itrdb - ak046	King - Kobuk/Noatak - PCGL - ITRDB AK046		King., J.C.;Graumlich., L.J.	Database entry	Kobuk/Noatak	67.07	-159.62	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	972	-42	Contemporaneous Whole Organism	0.7958335879999998	16	-5.941666603	292	-6.737500191	276	0	493.3698949	493.3698949
itrdb - ak047	Wilmking - Firth River - PCGL - ITRDB AK047		Wilmking., M.	Database entry	Firth River	68.1	-141.1	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	274	-52	Contemporaneous Whole Organism	0.27499961799999895	9	-8.487500191	202	-8.762499809	193	0	166.9167866	166.9167866
itrdb - ak048	Wilmking - Chimney Lake - PCGL - ITRDB AK048		Wilmking., M.	Database entry	Chimney Lake	67.12	-150.08	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	225	-51	Contemporaneous Whole Organism	0.40416717599999963	13	-6.770833015	312	-7.175000191	299	0	541.6703489	541.6703489
itrdb - ak049	Wilmking - North Fork Koyukuk - PCGL - ITRDB AK049		Wilmking., M.	Database entry	North Fork Koyukuk	67.15	-150.08	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	235	-51	Contemporaneous Whole Organism	0.4333333970000002	16	-7.258333206	381	-7.691666603	365	0	540.0035677999999	540.0035677999999
